country,year,bacterium,antibiotic,n_isolates,pct_resistant
Austria,2012,Acinetobacter spp.,Aminoglycosides,,
Austria,2013,Acinetobacter spp.,Aminoglycosides,51.0,9.8
Austria,2014,Acinetobacter spp.,Aminoglycosides,79.0,8.860759999999999
Belgium,2012,Acinetobacter spp.,Aminoglycosides,,
Belgium,2013,Acinetobacter spp.,Aminoglycosides,3.0,
Belgium,2014,Acinetobacter spp.,Aminoglycosides,4.0,
Bulgaria,2012,Acinetobacter spp.,Aminoglycosides,65.0,58.5
Bulgaria,2013,Acinetobacter spp.,Aminoglycosides,91.0,58.2
Bulgaria,2014,Acinetobacter spp.,Aminoglycosides,99.0,63.63636
Croatia,2012,Acinetobacter spp.,Aminoglycosides,,
Croatia,2013,Acinetobacter spp.,Aminoglycosides,114.0,92.1
Croatia,2014,Acinetobacter spp.,Aminoglycosides,167.0,88.02395
Cyprus,2012,Acinetobacter spp.,Aminoglycosides,23.0,52.2
Cyprus,2013,Acinetobacter spp.,Aminoglycosides,33.0,60.6
Cyprus,2014,Acinetobacter spp.,Aminoglycosides,57.0,73.68421000000001
Czech Republic,2012,Acinetobacter spp.,Aminoglycosides,,
Czech Republic,2013,Acinetobacter spp.,Aminoglycosides,91.0,16.5
Czech Republic,2014,Acinetobacter spp.,Aminoglycosides,59.0,10.16949
Denmark,2012,Acinetobacter spp.,Aminoglycosides,77.0,10.4
Denmark,2013,Acinetobacter spp.,Aminoglycosides,75.0,1.3
Denmark,2014,Acinetobacter spp.,Aminoglycosides,60.0,1.6666699999999999
Finland,2012,Acinetobacter spp.,Aminoglycosides,,
Finland,2013,Acinetobacter spp.,Aminoglycosides,36.0,0.0
Finland,2014,Acinetobacter spp.,Aminoglycosides,31.0,3.2258099999999996
France,2012,Acinetobacter spp.,Aminoglycosides,278.0,12.9
France,2013,Acinetobacter spp.,Aminoglycosides,409.0,11.5
France,2014,Acinetobacter spp.,Aminoglycosides,409.0,8.55746
Germany,2012,Acinetobacter spp.,Aminoglycosides,119.0,5.9
Germany,2013,Acinetobacter spp.,Aminoglycosides,173.0,6.4
Germany,2014,Acinetobacter spp.,Aminoglycosides,197.0,4.06091
Greece,2012,Acinetobacter spp.,Aminoglycosides,1234.0,78.1
Greece,2013,Acinetobacter spp.,Aminoglycosides,814.0,88.5
Greece,2014,Acinetobacter spp.,Aminoglycosides,801.0,88.6392
Hungary,2012,Acinetobacter spp.,Aminoglycosides,407.0,68.8
Hungary,2013,Acinetobacter spp.,Aminoglycosides,475.0,69.5
Hungary,2014,Acinetobacter spp.,Aminoglycosides,444.0,63.51351
Iceland,2012,Acinetobacter spp.,Aminoglycosides,2.0,
Iceland,2013,Acinetobacter spp.,Aminoglycosides,0.0,
Iceland,2014,Acinetobacter spp.,Aminoglycosides,3.0,
Ireland,2012,Acinetobacter spp.,Aminoglycosides,,
Ireland,2013,Acinetobacter spp.,Aminoglycosides,88.0,1.1
Ireland,2014,Acinetobacter spp.,Aminoglycosides,89.0,2.24719
Italy,2012,Acinetobacter spp.,Aminoglycosides,,
Italy,2013,Acinetobacter spp.,Aminoglycosides,468.0,82.9
Italy,2014,Acinetobacter spp.,Aminoglycosides,449.0,89.08686
Latvia,2012,Acinetobacter spp.,Aminoglycosides,,
Latvia,2013,Acinetobacter spp.,Aminoglycosides,,
Latvia,2014,Acinetobacter spp.,Aminoglycosides,52.0,75.0
Lithuania,2012,Acinetobacter spp.,Aminoglycosides,,
Lithuania,2013,Acinetobacter spp.,Aminoglycosides,,
Lithuania,2014,Acinetobacter spp.,Aminoglycosides,66.0,86.36364
Luxembourg,2012,Acinetobacter spp.,Aminoglycosides,6.0,
Luxembourg,2013,Acinetobacter spp.,Aminoglycosides,3.0,
Luxembourg,2014,Acinetobacter spp.,Aminoglycosides,6.0,
Malta,2012,Acinetobacter spp.,Aminoglycosides,5.0,
Malta,2013,Acinetobacter spp.,Aminoglycosides,7.0,
Malta,2014,Acinetobacter spp.,Aminoglycosides,10.0,30.0
Netherlands,2012,Acinetobacter spp.,Aminoglycosides,59.0,1.7
Netherlands,2013,Acinetobacter spp.,Aminoglycosides,67.0,4.5
Netherlands,2014,Acinetobacter spp.,Aminoglycosides,73.0,5.47945
Norway,2012,Acinetobacter spp.,Aminoglycosides,25.0,4.0
Norway,2013,Acinetobacter spp.,Aminoglycosides,36.0,2.8
Norway,2014,Acinetobacter spp.,Aminoglycosides,33.0,3.0303
Poland,2012,Acinetobacter spp.,Aminoglycosides,205.0,63.4
Poland,2013,Acinetobacter spp.,Aminoglycosides,191.0,73.8
Poland,2014,Acinetobacter spp.,Aminoglycosides,,
Portugal,2012,Acinetobacter spp.,Aminoglycosides,169.0,65.1
Portugal,2013,Acinetobacter spp.,Aminoglycosides,231.0,56.3
Portugal,2014,Acinetobacter spp.,Aminoglycosides,265.0,42.26415
Romania,2012,Acinetobacter spp.,Aminoglycosides,54.0,57.4
Romania,2013,Acinetobacter spp.,Aminoglycosides,137.0,80.3
Romania,2014,Acinetobacter spp.,Aminoglycosides,122.0,77.86885
Slovakia,2012,Acinetobacter spp.,Aminoglycosides,,
Slovakia,2013,Acinetobacter spp.,Aminoglycosides,188.0,50.0
Slovakia,2014,Acinetobacter spp.,Aminoglycosides,171.0,41.520469999999996
Slovenia,2012,Acinetobacter spp.,Aminoglycosides,25.0,20.0
Slovenia,2013,Acinetobacter spp.,Aminoglycosides,25.0,20.0
Slovenia,2014,Acinetobacter spp.,Aminoglycosides,34.0,38.23529
Spain,2012,Acinetobacter spp.,Aminoglycosides,,
Spain,2013,Acinetobacter spp.,Aminoglycosides,77.0,68.4
Spain,2014,Acinetobacter spp.,Aminoglycosides,80.0,60.0
Sweden,2012,Acinetobacter spp.,Aminoglycosides,,
Sweden,2013,Acinetobacter spp.,Aminoglycosides,74.0,8.1
Sweden,2014,Acinetobacter spp.,Aminoglycosides,36.0,2.77778
United Kingdom,2012,Acinetobacter spp.,Aminoglycosides,108.0,2.8
United Kingdom,2013,Acinetobacter spp.,Aminoglycosides,163.0,2.5
United Kingdom,2014,Acinetobacter spp.,Aminoglycosides,129.0,10.07752
Austria,2012,Acinetobacter spp.,Carbapenems,,
Austria,2013,Acinetobacter spp.,Carbapenems,51.0,7.8
Austria,2014,Acinetobacter spp.,Carbapenems,78.0,6.410259999999999
Belgium,2012,Acinetobacter spp.,Carbapenems,,
Belgium,2013,Acinetobacter spp.,Carbapenems,3.0,
Belgium,2014,Acinetobacter spp.,Carbapenems,4.0,
Bulgaria,2012,Acinetobacter spp.,Carbapenems,58.0,60.3
Bulgaria,2013,Acinetobacter spp.,Carbapenems,89.0,59.6
Bulgaria,2014,Acinetobacter spp.,Carbapenems,110.0,59.090909999999994
Croatia,2012,Acinetobacter spp.,Carbapenems,,
Croatia,2013,Acinetobacter spp.,Carbapenems,114.0,89.5
Croatia,2014,Acinetobacter spp.,Carbapenems,166.0,87.3494
Cyprus,2012,Acinetobacter spp.,Carbapenems,23.0,56.5
Cyprus,2013,Acinetobacter spp.,Carbapenems,33.0,60.6
Cyprus,2014,Acinetobacter spp.,Carbapenems,58.0,77.58621
Czech Republic,2012,Acinetobacter spp.,Carbapenems,,
Czech Republic,2013,Acinetobacter spp.,Carbapenems,91.0,4.4
Czech Republic,2014,Acinetobacter spp.,Carbapenems,59.0,5.08475
Denmark,2012,Acinetobacter spp.,Carbapenems,64.0,9.4
Denmark,2013,Acinetobacter spp.,Carbapenems,61.0,1.6
Denmark,2014,Acinetobacter spp.,Carbapenems,62.0,1.6129
Finland,2012,Acinetobacter spp.,Carbapenems,,
Finland,2013,Acinetobacter spp.,Carbapenems,35.0,0.0
Finland,2014,Acinetobacter spp.,Carbapenems,32.0,3.125
France,2012,Acinetobacter spp.,Carbapenems,389.0,3.3
France,2013,Acinetobacter spp.,Carbapenems,406.0,5.9
France,2014,Acinetobacter spp.,Carbapenems,401.0,2.49377
Germany,2012,Acinetobacter spp.,Carbapenems,121.0,6.6
Germany,2013,Acinetobacter spp.,Carbapenems,173.0,9.2
Germany,2014,Acinetobacter spp.,Carbapenems,201.0,5.47264
Greece,2012,Acinetobacter spp.,Carbapenems,1254.0,87.8
Greece,2013,Acinetobacter spp.,Carbapenems,848.0,90.6
Greece,2014,Acinetobacter spp.,Carbapenems,841.0,93.22234999999999
Hungary,2012,Acinetobacter spp.,Carbapenems,418.0,48.1
Hungary,2013,Acinetobacter spp.,Carbapenems,481.0,50.1
Hungary,2014,Acinetobacter spp.,Carbapenems,443.0,44.46953
Iceland,2012,Acinetobacter spp.,Carbapenems,2.0,
Iceland,2013,Acinetobacter spp.,Carbapenems,0.0,
Iceland,2014,Acinetobacter spp.,Carbapenems,3.0,
Ireland,2012,Acinetobacter spp.,Carbapenems,,
Ireland,2013,Acinetobacter spp.,Carbapenems,85.0,2.4
Ireland,2014,Acinetobacter spp.,Carbapenems,79.0,1.26582
Italy,2012,Acinetobacter spp.,Carbapenems,,
Italy,2013,Acinetobacter spp.,Carbapenems,468.0,79.5
Italy,2014,Acinetobacter spp.,Carbapenems,476.0,89.91597
Latvia,2012,Acinetobacter spp.,Carbapenems,,
Latvia,2013,Acinetobacter spp.,Carbapenems,,
Latvia,2014,Acinetobacter spp.,Carbapenems,52.0,78.84615000000001
Lithuania,2012,Acinetobacter spp.,Carbapenems,,
Lithuania,2013,Acinetobacter spp.,Carbapenems,,
Lithuania,2014,Acinetobacter spp.,Carbapenems,66.0,69.69697000000001
Luxembourg,2012,Acinetobacter spp.,Carbapenems,5.0,
Luxembourg,2013,Acinetobacter spp.,Carbapenems,1.0,
Luxembourg,2014,Acinetobacter spp.,Carbapenems,6.0,
Malta,2012,Acinetobacter spp.,Carbapenems,6.0,
Malta,2013,Acinetobacter spp.,Carbapenems,7.0,
Malta,2014,Acinetobacter spp.,Carbapenems,10.0,10.0
Netherlands,2012,Acinetobacter spp.,Carbapenems,67.0,6.0
Netherlands,2013,Acinetobacter spp.,Carbapenems,65.0,1.5
Netherlands,2014,Acinetobacter spp.,Carbapenems,74.0,0.0
Norway,2012,Acinetobacter spp.,Carbapenems,25.0,0.0
Norway,2013,Acinetobacter spp.,Carbapenems,36.0,0.0
Norway,2014,Acinetobacter spp.,Carbapenems,34.0,2.9411799999999997
Poland,2012,Acinetobacter spp.,Carbapenems,209.0,38.3
Poland,2013,Acinetobacter spp.,Carbapenems,189.0,49.7
Poland,2014,Acinetobacter spp.,Carbapenems,,
Portugal,2012,Acinetobacter spp.,Carbapenems,168.0,79.2
Portugal,2013,Acinetobacter spp.,Carbapenems,229.0,69.0
Portugal,2014,Acinetobacter spp.,Carbapenems,262.0,53.053439999999995
Romania,2012,Acinetobacter spp.,Carbapenems,54.0,81.5
Romania,2013,Acinetobacter spp.,Carbapenems,137.0,85.4
Romania,2014,Acinetobacter spp.,Carbapenems,123.0,81.30081
Slovakia,2012,Acinetobacter spp.,Carbapenems,,
Slovakia,2013,Acinetobacter spp.,Carbapenems,142.0,45.8
Slovakia,2014,Acinetobacter spp.,Carbapenems,161.0,32.91925
Slovenia,2012,Acinetobacter spp.,Carbapenems,25.0,24.0
Slovenia,2013,Acinetobacter spp.,Carbapenems,25.0,24.0
Slovenia,2014,Acinetobacter spp.,Carbapenems,34.0,26.470589999999998
Spain,2012,Acinetobacter spp.,Carbapenems,,
Spain,2013,Acinetobacter spp.,Carbapenems,94.0,75.5
Spain,2014,Acinetobacter spp.,Carbapenems,78.0,65.38462
Sweden,2012,Acinetobacter spp.,Carbapenems,,
Sweden,2013,Acinetobacter spp.,Carbapenems,72.0,5.6
Sweden,2014,Acinetobacter spp.,Carbapenems,52.0,3.84615
United Kingdom,2012,Acinetobacter spp.,Carbapenems,80.0,2.5
United Kingdom,2013,Acinetobacter spp.,Carbapenems,149.0,2.0
United Kingdom,2014,Acinetobacter spp.,Carbapenems,120.0,1.6666699999999999
Austria,2012,Acinetobacter spp.,Combined resistance,,
Austria,2013,Acinetobacter spp.,Combined resistance,51.0,5.9
Austria,2014,Acinetobacter spp.,Combined resistance,74.0,2.7027
Belgium,2012,Acinetobacter spp.,Combined resistance,,
Belgium,2013,Acinetobacter spp.,Combined resistance,3.0,
Belgium,2014,Acinetobacter spp.,Combined resistance,4.0,
Bulgaria,2012,Acinetobacter spp.,Combined resistance,58.0,32.8
Bulgaria,2013,Acinetobacter spp.,Combined resistance,86.0,39.5
Bulgaria,2014,Acinetobacter spp.,Combined resistance,97.0,48.453610000000005
Croatia,2012,Acinetobacter spp.,Combined resistance,,
Croatia,2013,Acinetobacter spp.,Combined resistance,112.0,86.6
Croatia,2014,Acinetobacter spp.,Combined resistance,163.0,85.88957
Cyprus,2012,Acinetobacter spp.,Combined resistance,23.0,47.8
Cyprus,2013,Acinetobacter spp.,Combined resistance,33.0,60.6
Cyprus,2014,Acinetobacter spp.,Combined resistance,57.0,73.68421000000001
Czech Republic,2012,Acinetobacter spp.,Combined resistance,,
Czech Republic,2013,Acinetobacter spp.,Combined resistance,91.0,4.4
Czech Republic,2014,Acinetobacter spp.,Combined resistance,59.0,5.08475
Denmark,2012,Acinetobacter spp.,Combined resistance,58.0,8.6
Denmark,2013,Acinetobacter spp.,Combined resistance,57.0,1.8
Denmark,2014,Acinetobacter spp.,Combined resistance,49.0,0.0
Finland,2012,Acinetobacter spp.,Combined resistance,,
Finland,2013,Acinetobacter spp.,Combined resistance,34.0,0.0
Finland,2014,Acinetobacter spp.,Combined resistance,30.0,0.0
France,2012,Acinetobacter spp.,Combined resistance,272.0,4.0
France,2013,Acinetobacter spp.,Combined resistance,389.0,4.1
France,2014,Acinetobacter spp.,Combined resistance,391.0,1.53453
Germany,2012,Acinetobacter spp.,Combined resistance,119.0,4.2
Germany,2013,Acinetobacter spp.,Combined resistance,172.0,5.2
Germany,2014,Acinetobacter spp.,Combined resistance,188.0,2.12766
Greece,2012,Acinetobacter spp.,Combined resistance,1203.0,74.5
Greece,2013,Acinetobacter spp.,Combined resistance,810.0,85.2
Greece,2014,Acinetobacter spp.,Combined resistance,794.0,86.90176
Hungary,2012,Acinetobacter spp.,Combined resistance,394.0,41.6
Hungary,2013,Acinetobacter spp.,Combined resistance,466.0,48.7
Hungary,2014,Acinetobacter spp.,Combined resistance,438.0,42.00913
Iceland,2012,Acinetobacter spp.,Combined resistance,2.0,
Iceland,2013,Acinetobacter spp.,Combined resistance,0.0,
Iceland,2014,Acinetobacter spp.,Combined resistance,3.0,
Ireland,2012,Acinetobacter spp.,Combined resistance,,
Ireland,2013,Acinetobacter spp.,Combined resistance,84.0,0.0
Ireland,2014,Acinetobacter spp.,Combined resistance,79.0,1.26582
Italy,2012,Acinetobacter spp.,Combined resistance,,
Italy,2013,Acinetobacter spp.,Combined resistance,453.0,79.0
Italy,2014,Acinetobacter spp.,Combined resistance,439.0,86.78815
Latvia,2012,Acinetobacter spp.,Combined resistance,,
Latvia,2013,Acinetobacter spp.,Combined resistance,,
Latvia,2014,Acinetobacter spp.,Combined resistance,52.0,61.53845999999999
Lithuania,2012,Acinetobacter spp.,Combined resistance,,
Lithuania,2013,Acinetobacter spp.,Combined resistance,,
Lithuania,2014,Acinetobacter spp.,Combined resistance,66.0,66.66667
Luxembourg,2012,Acinetobacter spp.,Combined resistance,5.0,
Luxembourg,2013,Acinetobacter spp.,Combined resistance,1.0,
Luxembourg,2014,Acinetobacter spp.,Combined resistance,6.0,
Malta,2012,Acinetobacter spp.,Combined resistance,5.0,
Malta,2013,Acinetobacter spp.,Combined resistance,7.0,
Malta,2014,Acinetobacter spp.,Combined resistance,10.0,10.0
Netherlands,2012,Acinetobacter spp.,Combined resistance,10.0,0.0
Netherlands,2013,Acinetobacter spp.,Combined resistance,64.0,1.6
Netherlands,2014,Acinetobacter spp.,Combined resistance,69.0,0.0
Norway,2012,Acinetobacter spp.,Combined resistance,25.0,0.0
Norway,2013,Acinetobacter spp.,Combined resistance,36.0,0.0
Norway,2014,Acinetobacter spp.,Combined resistance,33.0,3.0303
Poland,2012,Acinetobacter spp.,Combined resistance,197.0,35.0
Poland,2013,Acinetobacter spp.,Combined resistance,184.0,46.7
Poland,2014,Acinetobacter spp.,Combined resistance,,
Portugal,2012,Acinetobacter spp.,Combined resistance,168.0,64.3
Portugal,2013,Acinetobacter spp.,Combined resistance,222.0,56.3
Portugal,2014,Acinetobacter spp.,Combined resistance,260.0,39.23077
Romania,2012,Acinetobacter spp.,Combined resistance,54.0,50.0
Romania,2013,Acinetobacter spp.,Combined resistance,137.0,74.5
Romania,2014,Acinetobacter spp.,Combined resistance,121.0,77.68595
Slovakia,2012,Acinetobacter spp.,Combined resistance,,
Slovakia,2013,Acinetobacter spp.,Combined resistance,142.0,31.7
Slovakia,2014,Acinetobacter spp.,Combined resistance,161.0,24.844720000000002
Slovenia,2012,Acinetobacter spp.,Combined resistance,25.0,12.0
Slovenia,2013,Acinetobacter spp.,Combined resistance,25.0,20.0
Slovenia,2014,Acinetobacter spp.,Combined resistance,34.0,26.470589999999998
Spain,2012,Acinetobacter spp.,Combined resistance,,
Spain,2013,Acinetobacter spp.,Combined resistance,70.0,70.0
Spain,2014,Acinetobacter spp.,Combined resistance,78.0,56.41026
Sweden,2012,Acinetobacter spp.,Combined resistance,,
Sweden,2013,Acinetobacter spp.,Combined resistance,71.0,5.6
Sweden,2014,Acinetobacter spp.,Combined resistance,36.0,2.77778
United Kingdom,2012,Acinetobacter spp.,Combined resistance,79.0,1.3
United Kingdom,2013,Acinetobacter spp.,Combined resistance,149.0,1.3
United Kingdom,2014,Acinetobacter spp.,Combined resistance,119.0,1.68067
Austria,2012,Acinetobacter spp.,Fluoroquinolones,,
Austria,2013,Acinetobacter spp.,Fluoroquinolones,51.0,21.6
Austria,2014,Acinetobacter spp.,Fluoroquinolones,75.0,5.33333
Belgium,2012,Acinetobacter spp.,Fluoroquinolones,,
Belgium,2013,Acinetobacter spp.,Fluoroquinolones,3.0,
Belgium,2014,Acinetobacter spp.,Fluoroquinolones,4.0,
Bulgaria,2012,Acinetobacter spp.,Fluoroquinolones,65.0,69.2
Bulgaria,2013,Acinetobacter spp.,Fluoroquinolones,94.0,70.2
Bulgaria,2014,Acinetobacter spp.,Fluoroquinolones,115.0,73.91304
Croatia,2012,Acinetobacter spp.,Fluoroquinolones,,
Croatia,2013,Acinetobacter spp.,Fluoroquinolones,112.0,92.9
Croatia,2014,Acinetobacter spp.,Fluoroquinolones,164.0,92.07317
Cyprus,2012,Acinetobacter spp.,Fluoroquinolones,23.0,56.5
Cyprus,2013,Acinetobacter spp.,Fluoroquinolones,33.0,60.6
Cyprus,2014,Acinetobacter spp.,Fluoroquinolones,58.0,77.58621
Czech Republic,2012,Acinetobacter spp.,Fluoroquinolones,,
Czech Republic,2013,Acinetobacter spp.,Fluoroquinolones,91.0,19.8
Czech Republic,2014,Acinetobacter spp.,Fluoroquinolones,59.0,15.25424
Denmark,2012,Acinetobacter spp.,Fluoroquinolones,83.0,12.0
Denmark,2013,Acinetobacter spp.,Fluoroquinolones,79.0,6.3
Denmark,2014,Acinetobacter spp.,Fluoroquinolones,69.0,2.89855
Finland,2012,Acinetobacter spp.,Fluoroquinolones,,
Finland,2013,Acinetobacter spp.,Fluoroquinolones,36.0,2.8
Finland,2014,Acinetobacter spp.,Fluoroquinolones,31.0,6.4516100000000005
France,2012,Acinetobacter spp.,Fluoroquinolones,385.0,15.6
France,2013,Acinetobacter spp.,Fluoroquinolones,397.0,13.6
France,2014,Acinetobacter spp.,Fluoroquinolones,395.0,11.89873
Germany,2012,Acinetobacter spp.,Fluoroquinolones,121.0,8.3
Germany,2013,Acinetobacter spp.,Fluoroquinolones,173.0,9.8
Germany,2014,Acinetobacter spp.,Fluoroquinolones,199.0,6.03015
Greece,2012,Acinetobacter spp.,Fluoroquinolones,1204.0,93.1
Greece,2013,Acinetobacter spp.,Fluoroquinolones,812.0,95.0
Greece,2014,Acinetobacter spp.,Fluoroquinolones,806.0,95.28536
Hungary,2012,Acinetobacter spp.,Fluoroquinolones,405.0,78.0
Hungary,2013,Acinetobacter spp.,Fluoroquinolones,472.0,73.5
Hungary,2014,Acinetobacter spp.,Fluoroquinolones,441.0,66.43991
Iceland,2012,Acinetobacter spp.,Fluoroquinolones,2.0,
Iceland,2013,Acinetobacter spp.,Fluoroquinolones,0.0,
Iceland,2014,Acinetobacter spp.,Fluoroquinolones,3.0,
Ireland,2012,Acinetobacter spp.,Fluoroquinolones,,
Ireland,2013,Acinetobacter spp.,Fluoroquinolones,88.0,1.1
Ireland,2014,Acinetobacter spp.,Fluoroquinolones,86.0,4.65116
Italy,2012,Acinetobacter spp.,Fluoroquinolones,,
Italy,2013,Acinetobacter spp.,Fluoroquinolones,472.0,83.1
Italy,2014,Acinetobacter spp.,Fluoroquinolones,468.0,92.09402
Latvia,2012,Acinetobacter spp.,Fluoroquinolones,,
Latvia,2013,Acinetobacter spp.,Fluoroquinolones,,
Latvia,2014,Acinetobacter spp.,Fluoroquinolones,52.0,88.46154
Lithuania,2012,Acinetobacter spp.,Fluoroquinolones,,
Lithuania,2013,Acinetobacter spp.,Fluoroquinolones,,
Lithuania,2014,Acinetobacter spp.,Fluoroquinolones,66.0,84.84848000000001
Luxembourg,2012,Acinetobacter spp.,Fluoroquinolones,6.0,
Luxembourg,2013,Acinetobacter spp.,Fluoroquinolones,3.0,
Luxembourg,2014,Acinetobacter spp.,Fluoroquinolones,6.0,
Malta,2012,Acinetobacter spp.,Fluoroquinolones,6.0,
Malta,2013,Acinetobacter spp.,Fluoroquinolones,7.0,
Malta,2014,Acinetobacter spp.,Fluoroquinolones,10.0,30.0
Netherlands,2012,Acinetobacter spp.,Fluoroquinolones,10.0,0.0
Netherlands,2013,Acinetobacter spp.,Fluoroquinolones,69.0,2.9
Netherlands,2014,Acinetobacter spp.,Fluoroquinolones,72.0,4.16667
Norway,2012,Acinetobacter spp.,Fluoroquinolones,25.0,0.0
Norway,2013,Acinetobacter spp.,Fluoroquinolones,36.0,0.0
Norway,2014,Acinetobacter spp.,Fluoroquinolones,34.0,5.88235
Poland,2012,Acinetobacter spp.,Fluoroquinolones,209.0,78.0
Poland,2013,Acinetobacter spp.,Fluoroquinolones,188.0,81.4
Poland,2014,Acinetobacter spp.,Fluoroquinolones,,
Portugal,2012,Acinetobacter spp.,Fluoroquinolones,168.0,77.4
Portugal,2013,Acinetobacter spp.,Fluoroquinolones,225.0,68.9
Portugal,2014,Acinetobacter spp.,Fluoroquinolones,264.0,52.65152
Romania,2012,Acinetobacter spp.,Fluoroquinolones,54.0,88.9
Romania,2013,Acinetobacter spp.,Fluoroquinolones,137.0,90.5
Romania,2014,Acinetobacter spp.,Fluoroquinolones,123.0,83.73984
Slovakia,2012,Acinetobacter spp.,Fluoroquinolones,,
Slovakia,2013,Acinetobacter spp.,Fluoroquinolones,188.0,58.5
Slovakia,2014,Acinetobacter spp.,Fluoroquinolones,170.0,51.76471
Slovenia,2012,Acinetobacter spp.,Fluoroquinolones,25.0,28.0
Slovenia,2013,Acinetobacter spp.,Fluoroquinolones,25.0,28.0
Slovenia,2014,Acinetobacter spp.,Fluoroquinolones,34.0,41.176469999999995
Spain,2012,Acinetobacter spp.,Fluoroquinolones,,
Spain,2013,Acinetobacter spp.,Fluoroquinolones,76.0,74.6
Spain,2014,Acinetobacter spp.,Fluoroquinolones,79.0,67.08861
Sweden,2012,Acinetobacter spp.,Fluoroquinolones,,
Sweden,2013,Acinetobacter spp.,Fluoroquinolones,74.0,5.4
Sweden,2014,Acinetobacter spp.,Fluoroquinolones,52.0,11.53846
United Kingdom,2012,Acinetobacter spp.,Fluoroquinolones,105.0,2.9
United Kingdom,2013,Acinetobacter spp.,Fluoroquinolones,165.0,3.6
United Kingdom,2014,Acinetobacter spp.,Fluoroquinolones,123.0,11.382109999999999
Austria,2010,Enterococcus faecalis,Aminoglycosides (HLR),312.0,32.1
Austria,2011,Enterococcus faecalis,Aminoglycosides (HLR),327.0,30.9
Austria,2012,Enterococcus faecalis,Aminoglycosides (HLR),425.0,29.2
Austria,2013,Enterococcus faecalis,Aminoglycosides (HLR),503.0,31.4
Austria,2014,Enterococcus faecalis,Aminoglycosides (HLR),421.0,37.1
Belgium,2010,Enterococcus faecalis,Aminoglycosides (HLR),187.0,18.2
Belgium,2011,Enterococcus faecalis,Aminoglycosides (HLR),335.0,18.2
Belgium,2012,Enterococcus faecalis,Aminoglycosides (HLR),395.0,24.6
Belgium,2013,Enterococcus faecalis,Aminoglycosides (HLR),398.0,27.6
Belgium,2014,Enterococcus faecalis,Aminoglycosides (HLR),170.0,22.9
Bulgaria,2010,Enterococcus faecalis,Aminoglycosides (HLR),76.0,40.8
Bulgaria,2011,Enterococcus faecalis,Aminoglycosides (HLR),62.0,30.6
Bulgaria,2012,Enterococcus faecalis,Aminoglycosides (HLR),78.0,38.5
Bulgaria,2013,Enterococcus faecalis,Aminoglycosides (HLR),102.0,47.1
Bulgaria,2014,Enterococcus faecalis,Aminoglycosides (HLR),105.0,40.0
Croatia,2010,Enterococcus faecalis,Aminoglycosides (HLR),123.0,30.1
Croatia,2011,Enterococcus faecalis,Aminoglycosides (HLR),139.0,34.5
Croatia,2012,Enterococcus faecalis,Aminoglycosides (HLR),152.0,37.5
Croatia,2013,Enterococcus faecalis,Aminoglycosides (HLR),167.0,34.7
Croatia,2014,Enterococcus faecalis,Aminoglycosides (HLR),149.0,32.9
Cyprus,2010,Enterococcus faecalis,Aminoglycosides (HLR),67.0,23.9
Cyprus,2011,Enterococcus faecalis,Aminoglycosides (HLR),54.0,18.5
Cyprus,2012,Enterococcus faecalis,Aminoglycosides (HLR),77.0,10.4
Cyprus,2013,Enterococcus faecalis,Aminoglycosides (HLR),67.0,26.9
Cyprus,2014,Enterococcus faecalis,Aminoglycosides (HLR),80.0,17.5
Czech Republic,2010,Enterococcus faecalis,Aminoglycosides (HLR),571.0,48.0
Czech Republic,2011,Enterococcus faecalis,Aminoglycosides (HLR),556.0,46.2
Czech Republic,2012,Enterococcus faecalis,Aminoglycosides (HLR),581.0,41.7
Czech Republic,2013,Enterococcus faecalis,Aminoglycosides (HLR),603.0,40.0
Czech Republic,2014,Enterococcus faecalis,Aminoglycosides (HLR),525.0,38.7
Denmark,2010,Enterococcus faecalis,Aminoglycosides (HLR),44.0,36.4
Denmark,2011,Enterococcus faecalis,Aminoglycosides (HLR),45.0,31.1
Denmark,2012,Enterococcus faecalis,Aminoglycosides (HLR),112.0,27.7
Denmark,2013,Enterococcus faecalis,Aminoglycosides (HLR),48.0,27.1
Denmark,2014,Enterococcus faecalis,Aminoglycosides (HLR),60.0,30.0
Estonia,2010,Enterococcus faecalis,Aminoglycosides (HLR),22.0,27.3
Estonia,2011,Enterococcus faecalis,Aminoglycosides (HLR),6.0,
Estonia,2012,Enterococcus faecalis,Aminoglycosides (HLR),19.0,42.1
Estonia,2013,Enterococcus faecalis,Aminoglycosides (HLR),10.0,20.0
Estonia,2014,Enterococcus faecalis,Aminoglycosides (HLR),19.0,36.8
France,2010,Enterococcus faecalis,Aminoglycosides (HLR),1409.0,17.7
France,2011,Enterococcus faecalis,Aminoglycosides (HLR),955.0,20.0
France,2012,Enterococcus faecalis,Aminoglycosides (HLR),1528.0,16.7
France,2013,Enterococcus faecalis,Aminoglycosides (HLR),1639.0,14.7
France,2014,Enterococcus faecalis,Aminoglycosides (HLR),1741.0,13.7
Germany,2010,Enterococcus faecalis,Aminoglycosides (HLR),457.0,46.8
Germany,2011,Enterococcus faecalis,Aminoglycosides (HLR),578.0,41.0
Germany,2012,Enterococcus faecalis,Aminoglycosides (HLR),680.0,35.6
Germany,2013,Enterococcus faecalis,Aminoglycosides (HLR),807.0,39.3
Germany,2014,Enterococcus faecalis,Aminoglycosides (HLR),903.0,33.6
