country,year,bacterium,antibiotic,n_isolates,pct_resistant,resistance_level
Spain,2014,Escherichia coli,Aminoglycosides,5822.0,15.1,Medium
Sweden,2010,Escherichia coli,Aminoglycosides,3665.0,2.7,Low
Sweden,2011,Escherichia coli,Aminoglycosides,4274.0,4.5,Low
Sweden,2012,Escherichia coli,Aminoglycosides,5538.0,5.0,Low
Sweden,2013,Escherichia coli,Aminoglycosides,7101.0,6.0,Low
Sweden,2014,Escherichia coli,Aminoglycosides,5606.0,6.1,Low
United Kingdom,2010,Escherichia coli,Aminoglycosides,4929.0,8.3,Low
United Kingdom,2011,Escherichia coli,Aminoglycosides,5661.0,8.2,Low
United Kingdom,2012,Escherichia coli,Aminoglycosides,6390.0,8.6,Low
United Kingdom,2013,Escherichia coli,Aminoglycosides,7167.0,9.2,Low
United Kingdom,2014,Escherichia coli,Aminoglycosides,7273.0,9.0,Low
Austria,2010,Escherichia coli,Aminopenicillins,2928.0,50.6,High
Austria,2011,Escherichia coli,Aminopenicillins,3148.0,50.3,High
Austria,2012,Escherichia coli,Aminopenicillins,3625.0,50.6,High
Austria,2013,Escherichia coli,Aminopenicillins,4379.0,51.3,High
Austria,2014,Escherichia coli,Aminopenicillins,4742.0,50.4,High
Belgium,2010,Escherichia coli,Aminopenicillins,1957.0,56.9,High
Belgium,2011,Escherichia coli,Aminopenicillins,3507.0,58.7,High
Belgium,2012,Escherichia coli,Aminopenicillins,3898.0,56.3,High
Belgium,2013,Escherichia coli,Aminopenicillins,4350.0,56.8,High
Belgium,2014,Escherichia coli,Aminopenicillins,2876.0,58.9,High
Bulgaria,2010,Escherichia coli,Aminopenicillins,142.0,71.8,High
Bulgaria,2011,Escherichia coli,Aminopenicillins,152.0,60.5,High
Bulgaria,2012,Escherichia coli,Aminopenicillins,207.0,71.0,High
Bulgaria,2013,Escherichia coli,Aminopenicillins,160.0,74.4,High
Bulgaria,2014,Escherichia coli,Aminopenicillins,159.0,73.0,High
Croatia,2010,Escherichia coli,Aminopenicillins,625.0,53.0,High
Croatia,2011,Escherichia coli,Aminopenicillins,975.0,55.3,High
Croatia,2012,Escherichia coli,Aminopenicillins,904.0,51.4,High
Croatia,2013,Escherichia coli,Aminopenicillins,1036.0,53.7,High
Croatia,2014,Escherichia coli,Aminopenicillins,1077.0,54.0,High
Cyprus,2010,Escherichia coli,Aminopenicillins,137.0,62.0,High
Cyprus,2011,Escherichia coli,Aminopenicillins,134.0,77.6,High
Cyprus,2012,Escherichia coli,Aminopenicillins,176.0,70.5,High
Cyprus,2013,Escherichia coli,Aminopenicillins,162.0,77.2,High
Cyprus,2014,Escherichia coli,Aminopenicillins,153.0,71.2,High
Czech Republic,2010,Escherichia coli,Aminopenicillins,2481.0,59.3,High
Czech Republic,2011,Escherichia coli,Aminopenicillins,2683.0,60.7,High
Czech Republic,2012,Escherichia coli,Aminopenicillins,2811.0,56.8,High
Czech Republic,2013,Escherichia coli,Aminopenicillins,2954.0,54.9,High
Czech Republic,2014,Escherichia coli,Aminopenicillins,2978.0,54.4,High
Denmark,2010,Escherichia coli,Aminopenicillins,3412.0,45.8,High
Denmark,2011,Escherichia coli,Aminopenicillins,3638.0,47.9,High
Denmark,2012,Escherichia coli,Aminopenicillins,3708.0,45.2,High
Denmark,2013,Escherichia coli,Aminopenicillins,3965.0,46.3,High
Denmark,2014,Escherichia coli,Aminopenicillins,4490.0,44.9,High
Estonia,2010,Escherichia coli,Aminopenicillins,259.0,37.5,High
Estonia,2012,Escherichia coli,Aminopenicillins,216.0,48.1,High
Estonia,2013,Escherichia coli,Aminopenicillins,235.0,46.4,High
Estonia,2014,Escherichia coli,Aminopenicillins,261.0,47.1,High
Finland,2010,Escherichia coli,Aminopenicillins,2165.0,33.8,High
Finland,2011,Escherichia coli,Aminopenicillins,2264.0,37.3,High
Finland,2012,Escherichia coli,Aminopenicillins,2090.0,39.7,High
Finland,2013,Escherichia coli,Aminopenicillins,2124.0,37.3,High
Finland,2014,Escherichia coli,Aminopenicillins,2365.0,34.7,High
France,2010,Escherichia coli,Aminopenicillins,9017.0,54.6,High
France,2011,Escherichia coli,Aminopenicillins,8784.0,55.1,High
France,2012,Escherichia coli,Aminopenicillins,9599.0,55.2,High
France,2013,Escherichia coli,Aminopenicillins,10146.0,55.1,High
France,2014,Escherichia coli,Aminopenicillins,10325.0,55.9,High
Germany,2010,Escherichia coli,Aminopenicillins,3022.0,54.4,High
Germany,2011,Escherichia coli,Aminopenicillins,3638.0,52.3,High
Germany,2012,Escherichia coli,Aminopenicillins,4162.0,49.6,High
Germany,2013,Escherichia coli,Aminopenicillins,5220.0,53.0,High
Germany,2014,Escherichia coli,Aminopenicillins,5543.0,51.7,High
Greece,2010,Escherichia coli,Aminopenicillins,1474.0,52.3,High
Greece,2011,Escherichia coli,Aminopenicillins,1297.0,54.5,High
Greece,2012,Escherichia coli,Aminopenicillins,1270.0,55.0,High
Greece,2013,Escherichia coli,Aminopenicillins,1149.0,56.4,High
Greece,2014,Escherichia coli,Aminopenicillins,1057.0,55.7,High
Hungary,2010,Escherichia coli,Aminopenicillins,1328.0,65.3,High
Hungary,2011,Escherichia coli,Aminopenicillins,991.0,64.7,High
Hungary,2012,Escherichia coli,Aminopenicillins,1328.0,63.9,High
Hungary,2013,Escherichia coli,Aminopenicillins,1411.0,60.9,High
Hungary,2014,Escherichia coli,Aminopenicillins,1603.0,59.1,High
Iceland,2010,Escherichia coli,Aminopenicillins,100.0,46.0,High
Iceland,2011,Escherichia coli,Aminopenicillins,129.0,48.1,High
Iceland,2012,Escherichia coli,Aminopenicillins,131.0,44.3,High
Iceland,2013,Escherichia coli,Aminopenicillins,121.0,46.3,High
Iceland,2014,Escherichia coli,Aminopenicillins,151.0,43.0,High
Ireland,2010,Escherichia coli,Aminopenicillins,2121.0,66.8,High
Ireland,2011,Escherichia coli,Aminopenicillins,2118.0,69.5,High
Ireland,2012,Escherichia coli,Aminopenicillins,2329.0,67.4,High
Ireland,2013,Escherichia coli,Aminopenicillins,2465.0,69.4,High
Ireland,2014,Escherichia coli,Aminopenicillins,2694.0,68.7,High
Italy,2010,Escherichia coli,Aminopenicillins,2288.0,64.2,High
Italy,2011,Escherichia coli,Aminopenicillins,1530.0,67.1,High
Italy,2012,Escherichia coli,Aminopenicillins,2123.0,67.5,High
Italy,2013,Escherichia coli,Aminopenicillins,2356.0,65.7,High
Italy,2014,Escherichia coli,Aminopenicillins,2178.0,65.4,High
Latvia,2010,Escherichia coli,Aminopenicillins,98.0,50.0,High
Latvia,2011,Escherichia coli,Aminopenicillins,130.0,54.6,High
Latvia,2012,Escherichia coli,Aminopenicillins,153.0,54.2,High
Latvia,2013,Escherichia coli,Aminopenicillins,135.0,51.9,High
Latvia,2014,Escherichia coli,Aminopenicillins,182.0,48.4,High
Lithuania,2010,Escherichia coli,Aminopenicillins,329.0,55.9,High
Lithuania,2011,Escherichia coli,Aminopenicillins,383.0,47.8,High
Lithuania,2012,Escherichia coli,Aminopenicillins,461.0,52.5,High
Lithuania,2013,Escherichia coli,Aminopenicillins,432.0,54.2,High
Lithuania,2014,Escherichia coli,Aminopenicillins,590.0,57.8,High
Luxembourg,2010,Escherichia coli,Aminopenicillins,353.0,63.2,High
Luxembourg,2011,Escherichia coli,Aminopenicillins,353.0,52.1,High
Luxembourg,2012,Escherichia coli,Aminopenicillins,335.0,50.7,High
Luxembourg,2013,Escherichia coli,Aminopenicillins,299.0,54.5,High
Luxembourg,2014,Escherichia coli,Aminopenicillins,371.0,59.6,High
Malta,2010,Escherichia coli,Aminopenicillins,192.0,44.3,High
Malta,2011,Escherichia coli,Aminopenicillins,219.0,53.0,High
Malta,2012,Escherichia coli,Aminopenicillins,207.0,54.6,High
Malta,2013,Escherichia coli,Aminopenicillins,248.0,54.8,High
Malta,2014,Escherichia coli,Aminopenicillins,279.0,53.4,High
Netherlands,2010,Escherichia coli,Aminopenicillins,3404.0,47.6,High
Netherlands,2011,Escherichia coli,Aminopenicillins,4425.0,48.5,High
Netherlands,2012,Escherichia coli,Aminopenicillins,4697.0,49.0,High
Netherlands,2013,Escherichia coli,Aminopenicillins,4656.0,47.5,High
Netherlands,2014,Escherichia coli,Aminopenicillins,6458.0,46.0,High
Norway,2010,Escherichia coli,Aminopenicillins,2268.0,38.2,High
Norway,2011,Escherichia coli,Aminopenicillins,2617.0,39.1,High
Norway,2012,Escherichia coli,Aminopenicillins,2995.0,43.2,High
Norway,2013,Escherichia coli,Aminopenicillins,3016.0,43.0,High
Norway,2014,Escherichia coli,Aminopenicillins,3404.0,41.8,High
Poland,2010,Escherichia coli,Aminopenicillins,616.0,60.2,High
Poland,2011,Escherichia coli,Aminopenicillins,934.0,62.0,High
Poland,2012,Escherichia coli,Aminopenicillins,736.0,63.3,High
Poland,2013,Escherichia coli,Aminopenicillins,277.0,65.3,High
Portugal,2010,Escherichia coli,Aminopenicillins,1976.0,55.8,High
Portugal,2011,Escherichia coli,Aminopenicillins,1963.0,56.5,High
Portugal,2012,Escherichia coli,Aminopenicillins,2152.0,59.4,High
Portugal,2013,Escherichia coli,Aminopenicillins,2677.0,59.4,High
Portugal,2014,Escherichia coli,Aminopenicillins,4899.0,58.9,High
Romania,2010,Escherichia coli,Aminopenicillins,23.0,82.6,High
Romania,2011,Escherichia coli,Aminopenicillins,24.0,70.8,High
Romania,2012,Escherichia coli,Aminopenicillins,185.0,58.9,High
Romania,2013,Escherichia coli,Aminopenicillins,279.0,67.4,High
Romania,2014,Escherichia coli,Aminopenicillins,253.0,68.0,High
Slovakia,2011,Escherichia coli,Aminopenicillins,610.0,68.4,High
Slovakia,2012,Escherichia coli,Aminopenicillins,596.0,64.9,High
Slovakia,2013,Escherichia coli,Aminopenicillins,786.0,61.5,High
Slovakia,2014,Escherichia coli,Aminopenicillins,866.0,64.5,High
Slovenia,2010,Escherichia coli,Aminopenicillins,941.0,48.0,High
Slovenia,2011,Escherichia coli,Aminopenicillins,1002.0,53.9,High
Slovenia,2012,Escherichia coli,Aminopenicillins,1168.0,50.4,High
Slovenia,2013,Escherichia coli,Aminopenicillins,1224.0,51.5,High
Slovenia,2014,Escherichia coli,Aminopenicillins,1216.0,52.6,High
Spain,2010,Escherichia coli,Aminopenicillins,5696.0,64.5,High
Spain,2011,Escherichia coli,Aminopenicillins,5592.0,65.6,High
Spain,2012,Escherichia coli,Aminopenicillins,5672.0,65.4,High
Spain,2013,Escherichia coli,Aminopenicillins,5720.0,65.1,High
Spain,2014,Escherichia coli,Aminopenicillins,5817.0,64.9,High
Sweden,2010,Escherichia coli,Aminopenicillins,1727.0,34.7,High
Sweden,2011,Escherichia coli,Aminopenicillins,1023.0,34.8,High
Sweden,2013,Escherichia coli,Aminopenicillins,452.0,34.1,High
United Kingdom,2010,Escherichia coli,Aminopenicillins,4429.0,62.3,High
United Kingdom,2011,Escherichia coli,Aminopenicillins,5074.0,62.8,High
United Kingdom,2012,Escherichia coli,Aminopenicillins,5846.0,62.7,High
United Kingdom,2013,Escherichia coli,Aminopenicillins,6648.0,63.1,High
United Kingdom,2014,Escherichia coli,Aminopenicillins,6637.0,62.7,High
Austria,2010,Escherichia coli,Carbapenems,2465.0,0.0,Low
Austria,2011,Escherichia coli,Carbapenems,2712.0,0.0,Low
Austria,2012,Escherichia coli,Carbapenems,3340.0,0.1,Low
Belgium,2010,Escherichia coli,Carbapenems,1014.0,0.0,Low
Belgium,2011,Escherichia coli,Carbapenems,3989.0,0.0,Low
Belgium,2012,Escherichia coli,Carbapenems,4119.0,0.0,Low
Bulgaria,2012,Escherichia coli,Carbapenems,191.0,2.6,Low
Bulgaria,2013,Escherichia coli,Carbapenems,176.0,2.8,Low
Bulgaria,2014,Escherichia coli,Carbapenems,197.0,0.5,Low
Croatia,2010,Escherichia coli,Carbapenems,872.0,0.3,Low
Croatia,2011,Escherichia coli,Carbapenems,983.0,0.0,Low
Croatia,2012,Escherichia coli,Carbapenems,900.0,0.0,Low
Croatia,2013,Escherichia coli,Carbapenems,1038.0,0.0,Low
Croatia,2014,Escherichia coli,Carbapenems,1079.0,0.0,Low
Cyprus,2010,Escherichia coli,Carbapenems,138.0,0.7,Low
Cyprus,2011,Escherichia coli,Carbapenems,138.0,0.7,Low
Cyprus,2013,Escherichia coli,Carbapenems,162.0,0.0,Low
Cyprus,2014,Escherichia coli,Carbapenems,153.0,0.0,Low
Czech Republic,2010,Escherichia coli,Carbapenems,1647.0,0.1,Low
Czech Republic,2011,Escherichia coli,Carbapenems,1675.0,0.0,Low
Czech Republic,2012,Escherichia coli,Carbapenems,1729.0,0.1,Low
Czech Republic,2013,Escherichia coli,Carbapenems,1733.0,0.0,Low
Czech Republic,2014,Escherichia coli,Carbapenems,1702.0,0.0,Low
Denmark,2010,Escherichia coli,Carbapenems,2011.0,0.0,Low
Denmark,2011,Escherichia coli,Carbapenems,2265.0,0.0,Low
Denmark,2012,Escherichia coli,Carbapenems,2865.0,0.0,Low
Estonia,2013,Escherichia coli,Carbapenems,283.0,0.0,Low
Estonia,2014,Escherichia coli,Carbapenems,254.0,0.0,Low
Finland,2010,Escherichia coli,Carbapenems,2471.0,0.0,Low
Finland,2011,Escherichia coli,Carbapenems,3020.0,0.0,Low
Finland,2012,Escherichia coli,Carbapenems,3161.0,0.0,Low
Finland,2013,Escherichia coli,Carbapenems,3690.0,0.0,Low
Finland,2014,Escherichia coli,Carbapenems,4013.0,0.0,Low
France,2010,Escherichia coli,Carbapenems,8164.0,0.0,Low
France,2011,Escherichia coli,Carbapenems,8503.0,0.0,Low
France,2012,Escherichia coli,Carbapenems,9091.0,0.0,Low
France,2013,Escherichia coli,Carbapenems,9585.0,0.1,Low
Germany,2010,Escherichia coli,Carbapenems,2931.0,0.0,Low
Germany,2011,Escherichia coli,Carbapenems,3593.0,0.0,Low
Germany,2012,Escherichia coli,Carbapenems,4184.0,0.0,Low
Germany,2013,Escherichia coli,Carbapenems,5247.0,0.1,Low
Germany,2014,Escherichia coli,Carbapenems,6247.0,0.1,Low
Greece,2010,Escherichia coli,Carbapenems,1519.0,0.4,Low
Greece,2011,Escherichia coli,Carbapenems,1127.0,0.9,Low
Greece,2012,Escherichia coli,Carbapenems,1396.0,1.4,Low
Greece,2013,Escherichia coli,Carbapenems,1256.0,1.4,Low
Greece,2014,Escherichia coli,Carbapenems,1122.0,1.2,Low
Hungary,2010,Escherichia coli,Carbapenems,1311.0,0.2,Low
Hungary,2011,Escherichia coli,Carbapenems,1151.0,0.1,Low
Hungary,2012,Escherichia coli,Carbapenems,1307.0,0.0,Low
Hungary,2013,Escherichia coli,Carbapenems,1355.0,0.1,Low
Hungary,2014,Escherichia coli,Carbapenems,1517.0,0.0,Low
Iceland,2010,Escherichia coli,Carbapenems,104.0,0.0,Low
Iceland,2011,Escherichia coli,Carbapenems,129.0,0.0,Low
Iceland,2012,Escherichia coli,Carbapenems,138.0,0.0,Low
Iceland,2013,Escherichia coli,Carbapenems,121.0,0.0,Low
Iceland,2014,Escherichia coli,Carbapenems,140.0,0.0,Low
Ireland,2010,Escherichia coli,Carbapenems,1940.0,0.0,Low
Ireland,2011,Escherichia coli,Carbapenems,2149.0,0.0,Low
Ireland,2012,Escherichia coli,Carbapenems,2369.0,0.0,Low
Italy,2010,Escherichia coli,Carbapenems,2593.0,0.1,Low
Italy,2011,Escherichia coli,Carbapenems,1854.0,0.2,Low
Italy,2012,Escherichia coli,Carbapenems,3021.0,0.3,Low
Italy,2013,Escherichia coli,Carbapenems,3989.0,0.6,Low
Italy,2014,Escherichia coli,Carbapenems,3696.0,0.2,Low
Latvia,2013,Escherichia coli,Carbapenems,135.0,0.0,Low
Latvia,2014,Escherichia coli,Carbapenems,182.0,0.0,Low
Lithuania,2013,Escherichia coli,Carbapenems,431.0,0.0,Low
Lithuania,2014,Escherichia coli,Carbapenems,593.0,0.0,Low
Luxembourg,2013,Escherichia coli,Carbapenems,295.0,0.0,Low
Luxembourg,2014,Escherichia coli,Carbapenems,368.0,0.3,Low
Malta,2013,Escherichia coli,Carbapenems,248.0,0.0,Low
Malta,2014,Escherichia coli,Carbapenems,279.0,0.0,Low
Netherlands,2010,Escherichia coli,Carbapenems,3380.0,0.0,Low
Netherlands,2011,Escherichia coli,Carbapenems,4405.0,0.0,Low
Netherlands,2012,Escherichia coli,Carbapenems,4701.0,0.0,Low
Netherlands,2014,Escherichia coli,Carbapenems,6475.0,0.0,Low
Norway,2010,Escherichia coli,Carbapenems,2089.0,0.0,Low
Norway,2011,Escherichia coli,Carbapenems,2588.0,0.0,Low
Norway,2012,Escherichia coli,Carbapenems,3023.0,0.0,Low
Norway,2013,Escherichia coli,Carbapenems,3079.0,0.1,Low
Norway,2014,Escherichia coli,Carbapenems,3420.0,0.0,Low
Poland,2010,Escherichia coli,Carbapenems,703.0,0.1,Low
Poland,2011,Escherichia coli,Carbapenems,1064.0,0.1,Low
Poland,2012,Escherichia coli,Carbapenems,970.0,0.0,Low
Poland,2013,Escherichia coli,Carbapenems,938.0,0.0,Low
Portugal,2010,Escherichia coli,Carbapenems,1443.0,0.3,Low
Portugal,2011,Escherichia coli,Carbapenems,1755.0,0.0,Low
Portugal,2012,Escherichia coli,Carbapenems,2041.0,0.1,Low
Portugal,2013,Escherichia coli,Carbapenems,2668.0,0.1,Low
Romania,2012,Escherichia coli,Carbapenems,182.0,0.0,Low
Romania,2013,Escherichia coli,Carbapenems,299.0,0.0,Low
Romania,2014,Escherichia coli,Carbapenems,305.0,0.7,Low
Slovakia,2012,Escherichia coli,Carbapenems,659.0,0.9,Low
Slovakia,2013,Escherichia coli,Carbapenems,588.0,0.0,Low
Slovakia,2014,Escherichia coli,Carbapenems,820.0,0.0,Low
Slovenia,2010,Escherichia coli,Carbapenems,922.0,0.0,Low
Slovenia,2011,Escherichia coli,Carbapenems,1002.0,0.0,Low
Slovenia,2012,Escherichia coli,Carbapenems,1168.0,0.0,Low
Slovenia,2013,Escherichia coli,Carbapenems,1224.0,0.1,Low
Slovenia,2014,Escherichia coli,Carbapenems,1216.0,0.0,Low
Spain,2010,Escherichia coli,Carbapenems,5696.0,0.0,Low
Spain,2011,Escherichia coli,Carbapenems,5593.0,0.0,Low
Spain,2012,Escherichia coli,Carbapenems,5670.0,0.1,Low
Spain,2013,Escherichia coli,Carbapenems,5921.0,0.7,Low
Spain,2014,Escherichia coli,Carbapenems,5817.0,0.1,Low
Sweden,2010,Escherichia coli,Carbapenems,3586.0,0.0,Low
Sweden,2011,Escherichia coli,Carbapenems,5949.0,0.0,Low
Sweden,2012,Escherichia coli,Carbapenems,5532.0,0.0,Low
Sweden,2014,Escherichia coli,Carbapenems,6298.0,0.0,Low
United Kingdom,2010,Escherichia coli,Carbapenems,4025.0,0.0,Low
United Kingdom,2011,Escherichia coli,Carbapenems,4640.0,0.1,Low
United Kingdom,2012,Escherichia coli,Carbapenems,5182.0,0.2,Low
United Kingdom,2014,Escherichia coli,Carbapenems,6365.0,0.1,Low
Austria,2010,Escherichia coli,Combined resistance,2889.0,2.0,Low
Austria,2011,Escherichia coli,Combined resistance,3121.0,2.6,Low
Austria,2012,Escherichia coli,Combined resistance,3579.0,2.5,Low
Austria,2013,Escherichia coli,Combined resistance,4260.0,3.2,Low
Austria,2014,Escherichia coli,Combined resistance,4617.0,2.7,Low
Belgium,2010,Escherichia coli,Combined resistance,1562.0,1.0,Low
Belgium,2011,Escherichia coli,Combined resistance,3331.0,1.4,Low
Belgium,2012,Escherichia coli,Combined resistance,3330.0,1.8,Low
Belgium,2013,Escherichia coli,Combined resistance,3748.0,2.3,Low
Belgium,2014,Escherichia coli,Combined resistance,2227.0,3.7,Low
Bulgaria,2010,Escherichia coli,Combined resistance,150.0,8.0,Low
Bulgaria,2011,Escherichia coli,Combined resistance,179.0,10.1,Medium
Bulgaria,2012,Escherichia coli,Combined resistance,223.0,16.1,Medium
Bulgaria,2013,Escherichia coli,Combined resistance,187.0,19.8,Medium
Bulgaria,2014,Escherichia coli,Combined resistance,213.0,19.7,Medium
Croatia,2010,Escherichia coli,Combined resistance,874.0,2.6,Low
Croatia,2011,Escherichia coli,Combined resistance,947.0,2.6,Low
Croatia,2012,Escherichia coli,Combined resistance,889.0,2.8,Low
Croatia,2013,Escherichia coli,Combined resistance,1015.0,3.5,Low
Croatia,2014,Escherichia coli,Combined resistance,1070.0,6.0,Low
Cyprus,2010,Escherichia coli,Combined resistance,138.0,8.7,Low
Cyprus,2011,Escherichia coli,Combined resistance,137.0,18.2,Medium
Cyprus,2012,Escherichia coli,Combined resistance,176.0,14.8,Medium
Cyprus,2013,Escherichia coli,Combined resistance,162.0,20.4,Medium
Cyprus,2014,Escherichia coli,Combined resistance,153.0,13.1,Medium
Czech Republic,2010,Escherichia coli,Combined resistance,2447.0,3.4,Low
Czech Republic,2011,Escherichia coli,Combined resistance,2667.0,3.7,Low
Czech Republic,2012,Escherichia coli,Combined resistance,2809.0,4.5,Low
Czech Republic,2013,Escherichia coli,Combined resistance,2953.0,4.9,Low
Czech Republic,2014,Escherichia coli,Combined resistance,2976.0,6.4,Low
Denmark,2010,Escherichia coli,Combined resistance,2403.0,2.4,Low
Denmark,2011,Escherichia coli,Combined resistance,2529.0,3.0,Low
Denmark,2012,Escherichia coli,Combined resistance,2285.0,2.6,Low
Denmark,2013,Escherichia coli,Combined resistance,2377.0,2.2,Low
Denmark,2014,Escherichia coli,Combined resistance,4406.0,1.9,Low
Estonia,2010,Escherichia coli,Combined resistance,255.0,2.0,Low
Estonia,2011,Escherichia coli,Combined resistance,89.0,1.1,Low
Estonia,2012,Escherichia coli,Combined resistance,303.0,1.7,Low
Estonia,2013,Escherichia coli,Combined resistance,335.0,3.3,Low
Estonia,2014,Escherichia coli,Combined resistance,405.0,3.5,Low
Finland,2010,Escherichia coli,Combined resistance,2315.0,1.9,Low
Finland,2011,Escherichia coli,Combined resistance,3020.0,2.5,Low
Finland,2012,Escherichia coli,Combined resistance,2993.0,3.1,Low
Finland,2013,Escherichia coli,Combined resistance,3433.0,3.2,Low
Finland,2014,Escherichia coli,Combined resistance,3787.0,2.2,Low
France,2010,Escherichia coli,Combined resistance,9000.0,2.9,Low
France,2011,Escherichia coli,Combined resistance,8428.0,2.6,Low
France,2012,Escherichia coli,Combined resistance,5655.0,3.3,Low
France,2013,Escherichia coli,Combined resistance,10068.0,3.2,Low
France,2014,Escherichia coli,Combined resistance,10305.0,3.5,Low
Germany,2010,Escherichia coli,Combined resistance,3009.0,3.6,Low
Germany,2011,Escherichia coli,Combined resistance,3631.0,3.6,Low
Germany,2012,Escherichia coli,Combined resistance,4179.0,3.2,Low
Germany,2013,Escherichia coli,Combined resistance,5241.0,2.7,Low
Germany,2014,Escherichia coli,Combined resistance,6158.0,3.0,Low
Greece,2010,Escherichia coli,Combined resistance,1490.0,9.5,Low
Greece,2011,Escherichia coli,Combined resistance,1431.0,10.8,Medium
Greece,2012,Escherichia coli,Combined resistance,1368.0,10.7,Medium
Greece,2013,Escherichia coli,Combined resistance,1235.0,10.4,Medium
Greece,2014,Escherichia coli,Combined resistance,1104.0,10.9,Medium
Hungary,2010,Escherichia coli,Combined resistance,1366.0,15.4,Medium
Hungary,2011,Escherichia coli,Combined resistance,1209.0,8.3,Low
Hungary,2012,Escherichia coli,Combined resistance,1387.0,10.5,Medium
Hungary,2013,Escherichia coli,Combined resistance,1422.0,11.0,Medium
Hungary,2014,Escherichia coli,Combined resistance,1599.0,8.3,Low
Iceland,2010,Escherichia coli,Combined resistance,95.0,1.1,Low
Iceland,2011,Escherichia coli,Combined resistance,120.0,0.8,Low
Iceland,2012,Escherichia coli,Combined resistance,134.0,1.5,Low
Iceland,2013,Escherichia coli,Combined resistance,116.0,0.9,Low
Iceland,2014,Escherichia coli,Combined resistance,141.0,1.4,Low
Ireland,2010,Escherichia coli,Combined resistance,2112.0,3.0,Low
Ireland,2011,Escherichia coli,Combined resistance,2148.0,3.6,Low
Ireland,2012,Escherichia coli,Combined resistance,2283.0,4.0,Low
Ireland,2013,Escherichia coli,Combined resistance,2478.0,4.9,Low
Ireland,2014,Escherichia coli,Combined resistance,2689.0,5.0,Low
Italy,2010,Escherichia coli,Combined resistance,2395.0,10.5,Medium
Italy,2011,Escherichia coli,Combined resistance,1745.0,10.3,Medium
Italy,2012,Escherichia coli,Combined resistance,2686.0,14.4,Medium
Italy,2013,Escherichia coli,Combined resistance,3884.0,12.2,Medium
Italy,2014,Escherichia coli,Combined resistance,3441.0,13.8,Medium
Latvia,2010,Escherichia coli,Combined resistance,97.0,6.2,Low
Latvia,2011,Escherichia coli,Combined resistance,131.0,9.2,Low
Latvia,2012,Escherichia coli,Combined resistance,152.0,6.6,Low
Latvia,2013,Escherichia coli,Combined resistance,134.0,4.5,Low
Latvia,2014,Escherichia coli,Combined resistance,163.0,2.5,Low
Lithuania,2010,Escherichia coli,Combined resistance,331.0,5.4,Low
Lithuania,2011,Escherichia coli,Combined resistance,378.0,2.4,Low
Lithuania,2012,Escherichia coli,Combined resistance,455.0,1.3,Low
Lithuania,2013,Escherichia coli,Combined resistance,429.0,2.1,Low
Lithuania,2014,Escherichia coli,Combined resistance,588.0,2.6,Low
Luxembourg,2010,Escherichia coli,Combined resistance,354.0,1.7,Low
Luxembourg,2011,Escherichia coli,Combined resistance,353.0,2.8,Low
Luxembourg,2012,Escherichia coli,Combined resistance,334.0,2.7,Low
Luxembourg,2013,Escherichia coli,Combined resistance,287.0,2.1,Low
Luxembourg,2014,Escherichia coli,Combined resistance,368.0,4.1,Low
Malta,2010,Escherichia coli,Combined resistance,192.0,13.5,Medium
Malta,2011,Escherichia coli,Combined resistance,219.0,9.6,Low
Malta,2012,Escherichia coli,Combined resistance,216.0,8.3,Low
Malta,2013,Escherichia coli,Combined resistance,248.0,5.2,Low
Malta,2014,Escherichia coli,Combined resistance,279.0,6.8,Low
Netherlands,2010,Escherichia coli,Combined resistance,3371.0,1.8,Low
Netherlands,2011,Escherichia coli,Combined resistance,4400.0,2.2,Low
Netherlands,2012,Escherichia coli,Combined resistance,4675.0,1.8,Low
Netherlands,2013,Escherichia coli,Combined resistance,4722.0,1.9,Low
Netherlands,2014,Escherichia coli,Combined resistance,6427.0,2.1,Low
Norway,2010,Escherichia coli,Combined resistance,2236.0,1.4,Low
Norway,2011,Escherichia coli,Combined resistance,2259.0,1.2,Low
Norway,2012,Escherichia coli,Combined resistance,2835.0,1.9,Low
Norway,2013,Escherichia coli,Combined resistance,2971.0,2.5,Low
Norway,2014,Escherichia coli,Combined resistance,3413.0,2.0,Low
Poland,2010,Escherichia coli,Combined resistance,661.0,3.2,Low
Poland,2011,Escherichia coli,Combined resistance,902.0,4.0,Low
Poland,2012,Escherichia coli,Combined resistance,1011.0,5.8,Low
Poland,2013,Escherichia coli,Combined resistance,999.0,5.2,Low
Portugal,2010,Escherichia coli,Combined resistance,1898.0,6.5,Low
Portugal,2011,Escherichia coli,Combined resistance,1891.0,7.5,Low
Portugal,2012,Escherichia coli,Combined resistance,2152.0,9.2,Low
Portugal,2013,Escherichia coli,Combined resistance,2677.0,8.5,Low
Portugal,2014,Escherichia coli,Combined resistance,4990.0,8.6,Low
Romania,2010,Escherichia coli,Combined resistance,32.0,6.3,Low
Romania,2011,Escherichia coli,Combined resistance,50.0,10.0,Medium
Romania,2012,Escherichia coli,Combined resistance,179.0,15.6,Medium
Romania,2013,Escherichia coli,Combined resistance,292.0,9.2,Low
Romania,2014,Escherichia coli,Combined resistance,298.0,14.4,Medium
Slovakia,2011,Escherichia coli,Combined resistance,739.0,12.9,Medium
Slovakia,2012,Escherichia coli,Combined resistance,692.0,13.6,Medium
Slovakia,2013,Escherichia coli,Combined resistance,807.0,17.2,Medium
